file_path,filename,year,run_label,telescope,date_obs,object_raw,object_clean,imagetyp_raw,imagetyp,filter_raw,filter_canonical,exptime,ra,dec,airmass,naxis1,naxis2,xbinning,ybinning,ccd_temp,observer,instrume,simbad_name,simbad_ra,simbad_dec,simbad_type,error
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-003-clear.fit,HAT-P-32-003-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:54:14,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-004-clear.fit,HAT-P-32-004-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:54:50,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-005-clear.fit,HAT-P-32-005-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:55:26,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-006-clear.fit,HAT-P-32-006-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:56:03,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-007-clear.fit,HAT-P-32-007-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:56:39,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-008-clear.fit,HAT-P-32-008-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:57:15,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-009-clear.fit,HAT-P-32-009-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:57:51,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-010-clear.fit,HAT-P-32-010-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:58:28,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-011-clear.fit,HAT-P-32-011-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:59:05,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-012-clear.fit,HAT-P-32-012-clear.fit,2018,201801OHP_M2,T080,2018-01-12T17:59:41,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
